"","WC.Z","SD.Z","ID","hour"
"9403",-1.62082281576332,0.155782321569631,"X280_2019",22
"9413",-1.62082281576332,0.155782321569631,"X280_2019",23
"9423",-1.62082281576332,0.155782321569631,"X280_2019",0
"9432",-1.62082281576332,0.155782321569631,"X280_2019",1
"9443",-1.62082281576332,0.155782321569631,"X280_2019",2
"9452",-1.62082281576332,0.155782321569631,"X280_2019",3
"9463",-1.62082281576332,0.155782321569631,"X280_2019",4
"9472",-1.20946545419339,1.13616388860158,"X280_2019",5
"9483",-1.20946545419339,1.13616388860158,"X280_2019",6
"9492",-1.20946545419339,1.13616388860158,"X280_2019",7
"9503",-1.20946545419339,1.13616388860158,"X280_2019",8
"9518",-1.20946545419339,1.13616388860158,"X280_2019",9
"9523",-1.20946545419339,1.13616388860158,"X280_2019",10
"9532",-1.20946545419339,1.13616388860158,"X280_2019",11
"9543",-1.20946545419339,1.13616388860158,"X280_2019",12
"9564",-1.20946545419339,1.13616388860158,"X280_2019",13
"9584",-1.20946545419339,1.13616388860158,"X280_2019",14
"9604",-1.20946545419339,1.13616388860158,"X280_2019",15
"9624",-1.20946545419339,1.13616388860158,"X280_2019",16
"9644",-1.20946545419339,1.13616388860158,"X280_2019",17
"9664",-1.20946545419339,1.13616388860158,"X280_2019",18
"9684",-1.20946545419339,1.13616388860158,"X280_2019",19
"9704",-1.20946545419339,1.13616388860158,"X280_2019",20
"9724",-1.20946545419339,1.13616388860158,"X280_2019",21
"9744",-1.20946545419339,1.13616388860158,"X280_2019",22
"9751",-1.20946545419339,1.13616388860158,"X280_2019",23
"9771",-1.20946545419339,1.13616388860158,"X280_2019",0
"9791",-1.20946545419339,1.13616388860158,"X280_2019",1
"9812",-1.20946545419339,1.13616388860158,"X280_2019",2
"9832",-1.20946545419339,1.13616388860158,"X280_2019",3
"9853",-1.20946545419339,1.13616388860158,"X280_2019",4
"9874",-1.90209590040466,0.809370032924263,"X280_2019",5
"9894",-1.90209590040466,0.809370032924263,"X280_2019",6
"99110",-1.90209590040466,0.809370032924263,"X280_2019",7
"9934",-1.90209590040466,0.809370032924263,"X280_2019",8
"9954",-1.90209590040466,0.809370032924263,"X280_2019",9
"9974",-1.90209590040466,0.809370032924263,"X280_2019",10
"9994",-1.90209590040466,0.809370032924263,"X280_2019",11
"10015",-1.90209590040466,0.809370032924263,"X280_2019",12
"10033",-1.90209590040466,0.809370032924263,"X280_2019",13
"10053",-1.90209590040466,0.809370032924263,"X280_2019",14
"10073",-1.90209590040466,0.809370032924263,"X280_2019",15
"10093",-1.90209590040466,0.809370032924263,"X280_2019",16
"10117",-1.90209590040466,0.809370032924263,"X280_2019",17
"10133",-1.90209590040466,0.809370032924263,"X280_2019",18
"10154",-1.90209590040466,0.809370032924263,"X280_2019",19
"10174",-1.90209590040466,0.809370032924263,"X280_2019",20
"10194",-1.90209590040466,0.809370032924263,"X280_2019",21
"10215",-1.90209590040466,0.809370032924263,"X280_2019",22
"10222",-1.90209590040466,0.809370032924263,"X280_2019",23
"10242",-1.90209590040466,0.809370032924263,"X280_2019",0
"10262",-1.90209590040466,0.809370032924263,"X280_2019",1
"10281",-1.90209590040466,0.809370032924263,"X280_2019",2
"10302",-1.90209590040466,0.809370032924263,"X280_2019",3
"10322",-1.90209590040466,0.809370032924263,"X280_2019",4
"10343",-0.882965767865645,0.78213721161782,"X280_2019",5
"10363",-0.882965767865645,0.78213721161782,"X280_2019",6
"10383",-0.882965767865645,0.78213721161782,"X280_2019",7
"10403",-0.882965767865645,0.78213721161782,"X280_2019",8
"10423",-0.882965767865645,0.78213721161782,"X280_2019",9
"10443",-0.882965767865645,0.78213721161782,"X280_2019",10
"10463",-0.882965767865645,0.78213721161782,"X280_2019",11
"10484",-0.882965767865645,0.78213721161782,"X280_2019",12
"10504",-0.882965767865645,0.78213721161782,"X280_2019",13
"10524",-0.882965767865645,0.78213721161782,"X280_2019",14
"10544",-0.882965767865645,0.78213721161782,"X280_2019",15
"10564",-0.882965767865645,0.78213721161782,"X280_2019",16
"10584",-0.882965767865645,0.78213721161782,"X280_2019",17
"10604",-0.882965767865645,0.78213721161782,"X280_2019",18
"10624",-0.882965767865645,0.78213721161782,"X280_2019",19
"10644",-0.882965767865645,0.78213721161782,"X280_2019",20
"10664",-0.882965767865645,0.78213721161782,"X280_2019",21
"10684",-0.882965767865645,0.78213721161782,"X280_2019",22
"10691",-0.882965767865645,0.78213721161782,"X280_2019",23
"10715",-0.882965767865645,0.78213721161782,"X280_2019",0
"10732",-0.882965767865645,0.78213721161782,"X280_2019",1
"10753",-0.882965767865645,0.78213721161782,"X280_2019",2
"10772",-0.882965767865645,0.78213721161782,"X280_2019",3
"10792",-0.882965767865645,0.78213721161782,"X280_2019",4
"10816",-0.247830001602963,0.645973105085605,"X280_2019",5
"10833",-0.247830001602963,0.645973105085605,"X280_2019",6
"10853",-0.247830001602963,0.645973105085605,"X280_2019",7
"10873",-0.247830001602963,0.645973105085605,"X280_2019",8
"10893",-0.247830001602963,0.645973105085605,"X280_2019",9
"10918",-0.247830001602963,0.645973105085605,"X280_2019",10
"10934",-0.247830001602963,0.645973105085605,"X280_2019",11
"10953",-0.247830001602963,0.645973105085605,"X280_2019",12
"10973",-0.247830001602963,0.645973105085605,"X280_2019",13
"10993",-0.247830001602963,0.645973105085605,"X280_2019",14
"11015",-0.247830001602963,0.645973105085605,"X280_2019",15
"11032",-0.247830001602963,0.645973105085605,"X280_2019",16
"11052",-0.247830001602963,0.645973105085605,"X280_2019",17
"11072",-0.247830001602963,0.645973105085605,"X280_2019",18
"11092",-0.247830001602963,0.645973105085605,"X280_2019",19
"11115",-0.247830001602963,0.645973105085605,"X280_2019",20
"11132",-0.247830001602963,0.645973105085605,"X280_2019",21
"11152",-0.247830001602963,0.645973105085605,"X280_2019",22
"11162",-0.247830001602963,0.645973105085605,"X280_2019",23
"11183",-0.247830001602963,0.645973105085605,"X280_2019",0
"11202",-0.247830001602963,0.645973105085605,"X280_2019",1
"11222",-0.247830001602963,0.645973105085605,"X280_2019",2
"11242",-0.247830001602963,0.645973105085605,"X280_2019",3
"11262",-0.247830001602963,0.645973105085605,"X280_2019",4
"11283",0.74009337036276,0.97276696076292,"X280_2019",5
"11303",0.74009337036276,0.97276696076292,"X280_2019",6
"11323",0.74009337036276,0.97276696076292,"X280_2019",7
"11343",0.74009337036276,0.97276696076292,"X280_2019",8
"11363",0.74009337036276,0.97276696076292,"X280_2019",9
"11383",0.74009337036276,0.97276696076292,"X280_2019",10
"11404",0.74009337036276,0.97276696076292,"X280_2019",11
"11424",0.74009337036276,0.97276696076292,"X280_2019",12
"11444",0.74009337036276,0.97276696076292,"X280_2019",13
"11464",0.74009337036276,0.97276696076292,"X280_2019",14
"11483",0.74009337036276,0.97276696076292,"X280_2019",15
"11503",0.74009337036276,0.97276696076292,"X280_2019",16
"11523",0.74009337036276,0.97276696076292,"X280_2019",17
"11543",0.74009337036276,0.97276696076292,"X280_2019",18
"11563",0.74009337036276,0.97276696076292,"X280_2019",19
"11583",0.74009337036276,0.97276696076292,"X280_2019",20
"11603",0.74009337036276,0.97276696076292,"X280_2019",21
"11623",0.74009337036276,0.97276696076292,"X280_2019",22
"11631",0.74009337036276,0.97276696076292,"X280_2019",23
"11652",0.74009337036276,0.97276696076292,"X280_2019",0
"11672",0.74009337036276,0.97276696076292,"X280_2019",1
"11692",0.74009337036276,0.97276696076292,"X280_2019",2
"11715",0.74009337036276,0.97276696076292,"X280_2019",3
"11732",0.74009337036276,0.97276696076292,"X280_2019",4
"11753",-0.523389565542106,1.62635467211755,"X280_2019",5
"11773",-0.523389565542106,1.62635467211755,"X280_2019",6
"11793",-0.523389565542106,1.62635467211755,"X280_2019",7
"11815",-0.523389565542106,1.62635467211755,"X280_2019",8
"11833",-0.523389565542106,1.62635467211755,"X280_2019",9
"11853",-0.523389565542106,1.62635467211755,"X280_2019",10
"11872",-0.523389565542106,1.62635467211755,"X280_2019",11
"11892",-0.523389565542106,1.62635467211755,"X280_2019",12
"11915",-0.523389565542106,1.62635467211755,"X280_2019",13
"11932",-0.523389565542106,1.62635467211755,"X280_2019",14
"11952",-0.523389565542106,1.62635467211755,"X280_2019",15
"11972",-0.523389565542106,1.62635467211755,"X280_2019",16
