STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/18/2018,12.53,,,,0,,0,26,16,26,-1,,330,330,,,25.9,34,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/19/2018,11.63,,,,0,,0,25.2,18,30,4,,320,330,,,25.9,36,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/20/2018,6.93,,,,0,,0,25.2,25,40,12,,320,320,,,18.1,21.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/21/2018,10.51,,,,0,,0,22.8,27,41,9,,50,50,,,18.1,23.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/22/2018,17,,,,0.06,,0.5,22,33,39,27,,360,350,,,31.1,40,1,,,,,,1,1
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/23/2018,6.71,,,,0,,0,20.9,35,44,23,,10,340,,,15,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/24/2018,6.93,,,,0,,0,18.1,34,43,21,,60,60,,,19.9,23.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/25/2018,11.41,,,,0,,0,16.1,33,38,16,,30,30,,,21.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/26/2018,5.59,,,,0,,0,14.2,29,43,17,,340,350,,,15,18.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/27/2018,2.24,,,,0,,0,13,29,50,9,,60,60,,,13,18.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/28/2018,4.92,,,,0,,0,11,40,51,32,,350,330,,,14.1,18.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/29/2018,3.8,,,,0.08,,0,7.1,39,51,25,,190,200,,,15,18.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/30/2018,7.38,,,,0.37,,0,3.1,42,50,37,,330,310,,,17,21,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",3/31/2018,11.86,,,,0,,0,0,40,49,33,,310,310,,,23,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/1/2018,13.2,,,,0,,0,0,42,51,29,,320,310,,,23,33.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/2/2018,4.7,,,,0,,0,0,33,41,23,,150,210,,,14.1,19.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/3/2018,8.72,,,,0.04,,0,0,35,47,25,,170,180,,,23,31.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/4/2018,5.59,,,,0.7,,0,0,37,43,33,,230,220,,,16.1,25.1,1,,1,1,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/5/2018,13.42,,,,0,,0,0,30,37,22,,280,280,,,25.1,36.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/6/2018,9.17,,,,0.11,,2.3,0,28,39,17,,180,180,,,23.9,29.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/7/2018,9.17,,,,0.01,,0,2,36,43,30,,310,300,,,21,29.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/8/2018,9.4,,,,0,,0,0,33,43,24,,320,320,,,21.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/9/2018,10.74,,,,0,,0,0,29,36,21,,320,320,,,28,33.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/10/2018,3.8,,,,0,,0,0,30,42,18,,190,180,,,13,18.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/11/2018,5.37,,,,0,,0,0,34,47,21,,180,200,,,17,25.9,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/12/2018,7.61,,,,0.32,,0,0,40,52,26,,170,170,,,21.9,28,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/13/2018,7.16,,,,0.15,,0,0,48,57,42,,170,170,,,21.9,29.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/14/2018,11.18,,,,0.04,,0,0,40,43,30,,360,340,,,25.1,33.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/15/2018,11.41,,,,0,,0,0,31,35,26,,360,30,,,17,23,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/16/2018,13.2,,,,0.6,,0,0,33,42,30,,90,100,,,23.9,34,1,,,1,,1,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/17/2018,10.74,,,,0.44,,0,0,44,49,37,,100,110,,,25.9,35.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/18/2018,7.38,,,,0,,0,0,39,47,33,,270,280,,,17,21.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/19/2018,5.82,,,,0.01,,0,0,44,49,38,,320,300,,,13,16.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/20/2018,9.62,,,,0.05,,0,0,41,51,36,,330,330,,,23.9,30,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/21/2018,11.18,,,,0,,0,0,43,52,28,,330,320,,,23.9,29.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/22/2018,7.16,,,,0,,0,0,43,57,26,,330,320,,,21.9,25.9,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/23/2018,5.82,,,,0,,0,0,46,66,24,,180,180,,,16.1,21,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/24/2018,10.51,,,,0,,0,0,53,70,39,,190,180,,,23,30,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/25/2018,9.84,,,,0.91,,0,0,51,62,45,,170,170,,,18.1,23.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/26/2018,7.16,,,,0.94,,0,0,52,54,49,,170,140,,,16.1,19.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/27/2018,5.82,,,,0.34,,0,0,53,64,39,,190,190,,,21,25.1,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/28/2018,4.47,,,,0,,0,0,51,63,46,,150,130,,,10.1,13,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/29/2018,7.16,,,,0.11,,0,0,52,68,39,,200,200,,,18.1,21.9,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",4/30/2018,5.82,,,,0,,0,0,51,59,40,,200,130,,,16.1,23,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",5/1/2018,4.03,,,,0,,0,0,49,62,41,,330,330,,,15,19,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",5/2/2018,8.95,,,,0,,0,0,64,88,47,,240,250,,,21.9,31.1,,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",5/3/2018,6.04,,,,0.95,,0,0,66,74,50,,330,270,,,17,23.9,1,,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",5/4/2018,6.26,,,,0.07,,0,0,54,66,50,,140,160,,,18.1,25.1,1,1,,,,,,
USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",5/5/2018,12.3,,,,0,,0,0,58,70,50,,310,270,,,25.1,42.9,1,,,,,,,
